year,category,query,location,rank
2001,Consumer Brands,Nokia,Global,1
2001,Consumer Brands,Sony,Global,2
2001,Consumer Brands,BMW,Global,3
2001,Consumer Brands,Palm,Global,4
2001,Consumer Brands,Adobe,Global,5
2001,MP3 Music Services,Morpheus,Global,1
2001,MP3 Music Services,Napster,Global,2
2001,MP3 Music Services,Gnutella,Global,3
2001,MP3 Music Services,Kazaa,Global,4
2001,MP3 Music Services,Audiogalaxy,Global,5
2001,Men,Nostradamus,Global,1
2001,Men,Osama bin Laden,Global,2
2001,Men,Eminem,Global,3
2001,Men,Michael Jackson,Global,4
2001,Men,Howard Stern,Global,5
2001,Movies,Harry Potter,Global,1
2001,Movies,Lord of the Rings,Global,2
2001,Movies,Final Fantasy,Global,3
2001,Movies,Tomb Raider,Global,4
2001,Movies,Shrek,Global,5
2001,Music Groups,Beatles,Global,1
2001,Music Groups,U2,Global,2
2001,Music Groups,N Sync,Global,3
2001,Music Groups,Backstreet Boys,Global,4
2001,Music Groups,Linkin Park,Global,5
2001,New Products,Windows XP,Global,1
2001,New Products,Xbox,Global,2
2001,New Products,PlayStation 2,Global,3
2001,New Products,GameCube,Global,4
2001,New Products,Nokia 5510,Global,5
2001,News Resources,CNN,Global,1
2001,News Resources,BBC,Global,2
2001,News Resources,New York Times,Global,3
2001,News Resources,MSNBC,Global,4
2001,News Resources,Washington Post,Global,5
2001,Retailers,Amazon,Global,1
2001,Retailers,IKEA,Global,2
2001,Retailers,"Toys ""R"" Us",Global,3
2001,Retailers,Walmart,Global,4
2001,Retailers,Circuit City,Global,5
2001,Sports,Anna Kournikova,Global,1
2001,Sports,Tour de France,Global,2
2001,Sports,Dale Earnhardt,Global,3
2001,Sports,Wimbledon,Global,4
2001,Sports,US Open,Global,5
2001,TV Shows,Loft Story,Global,1
2001,TV Shows,Big Brother,Global,2
2001,TV Shows,The Simpsons,Global,3
2001,TV Shows,Survivor,Global,4
2001,TV Shows,Gran Hermano,Global,5
2001,Video Games,Counterstrike,Global,1
2001,Video Games,The Sims,Global,2
2001,Video Games,Operation Flashpoint,Global,3
2001,Video Games,Moorhuhn 3,Global,4
2001,Video Games,Wolfenstein,Global,5
2001,Women,Britney Spears,Global,1
2001,Women,Pamela Anderson,Global,2
2001,Women,Jennifer Lopez,Global,3
2001,Women,Madonna,Global,4
2001,Women,Aaliyah,Global,5
2002,Athletes,David Beckham,Global,1
2002,Athletes,Anna Kournikova,Global,2
2002,Athletes,Ronaldo,Global,3
2002,Athletes,Kobe Bryant,Global,4
2002,Athletes,Zinedine Zidane,Global,5
2002,Consumer Brands,Ferrari,Global,1
2002,Consumer Brands,Sony,Global,2
2002,Consumer Brands,Nokia,Global,3
2002,Consumer Brands,Disney,Global,4
2002,Consumer Brands,IKEA,Global,5
2002,Kids' Images,The Simpsons,Global,1
2002,Kids' Images,Pokémon,Global,2
2002,Kids' Images,Snoopy,Global,3
2002,Kids' Images,Superman,Global,4
2002,Kids' Images,Batman,Global,5
2002,Men,Eminem,Global,1
2002,Men,Brad Pitt,Global,2
2002,Men,David Beckham,Global,3
2002,Men,Josh Hartnett,Global,4
2002,Men,2Pac,Global,5
2002,Movies,Spiderman,Global,1
2002,Movies,Harry Potter,Global,2
2002,Movies,Star Wars,Global,3
2002,Movies,Jackass,Global,4
2002,Movies,Scooby Doo,Global,5
2002,Musicians and Bands,Eminem,Global,1
2002,Musicians and Bands,Shakira,Global,2
2002,Musicians and Bands,Madonna,Global,3
2002,Musicians and Bands,Nelly,Global,4
2002,Musicians and Bands,2Pac,Global,5
2002,News Stories,World Cup,Global,1
2002,News Stories,Iraq,Global,2
2002,News Stories,Sniper,Global,3
2002,News Stories,Hurricane Lili,Global,4
2002,News Stories,Hochwasser,Global,5
2002,Retailers,IKEA,Global,1
2002,Retailers,Home Depot,Global,2
2002,Retailers,Walmart,Global,3
2002,Retailers,Best Buy,Global,4
2002,Retailers,Sears,Global,5
2002,TV Shows,The Simpsons,Global,1
2002,TV Shows,Big Brother,Global,2
2002,TV Shows,The Osbournes,Global,3
2002,TV Shows,South Park,Global,4
2002,TV Shows,SpongeBob SquarePants,Global,5
2002,Technology,MP3,Global,1
2002,Technology,SMS,Global,2
2002,Technology,WinZip,Global,3
2002,Technology,Linux,Global,4
2002,Technology,FTP,Global,5
2002,Travel Destinations,Paris,Global,1
2002,Travel Destinations,Canada,Global,2
2002,Travel Destinations,New York,Global,3
2002,Travel Destinations,India,Global,4
2002,Travel Destinations,Las Vegas,Global,5
