location,year,category,rank,query
Global,2001,Men,1,Nostradamus
Global,2001,Men,2,Osama bin Laden
Global,2001,Men,3,Eminem
Global,2001,Men,4,Michael Jackson
Global,2001,Men,5,Howard Stern
Global,2001,Women,1,Britney Spears
Global,2001,Women,2,Pamela Anderson
Global,2001,Women,3,Jennifer Lopez
Global,2001,Women,4,Madonna
Global,2001,Women,5,Aaliyah
Global,2002,Athletes,1,David Beckham
Global,2002,Athletes,2,Anna Kournikova
Global,2002,Athletes,3,Ronaldo
Global,2002,Athletes,4,Kobe Bryant
Global,2002,Athletes,5,Zinedine Zidane
Global,2002,Men,1,Eminem
Global,2002,Men,2,Brad Pitt
Global,2002,Men,3,David Beckham
Global,2002,Men,4,Josh Hartnett
Global,2002,Men,5,2Pac
Global,2002,Women,1,Britney Spears
Global,2002,Women,2,Pamela Anderson
Global,2002,Women,3,Jennifer Lopez
Global,2002,Women,4,Shakira
Global,2002,Women,5,Anna Kournikova
France,2002,People,1,Britney Spears
France,2002,People,2,Shakira
France,2002,People,3,Jennifer Lopez
France,2002,People,4,Vanessa Demouy
France,2002,People,5,Alyssa Milano
United Kingdom,2002,Men,1,Gareth Gates
United Kingdom,2002,Men,2,David Beckham
United Kingdom,2002,Men,3,Eminem
United Kingdom,2002,Men,4,Orlando Bloom
United Kingdom,2002,Men,5,Brad Pitt
United Kingdom,2002,People,1,BBC
United Kingdom,2002,People,2,Big Brother
United Kingdom,2002,People,3,EasyJet
United Kingdom,2002,People,4,Britney Spears
United Kingdom,2002,People,5,Ryanair
United Kingdom,2002,Women,1,Britney Spears
United Kingdom,2002,Women,2,Kylie Minogue
United Kingdom,2002,Women,3,Holly Valance
United Kingdom,2002,Women,4,Kelly Brook
United Kingdom,2002,Women,5,Katie Price
Global,2003,People,1,Britney Spears
Global,2003,People,2,Harry Potter
Global,2003,People,3,Matrix
Global,2003,People,4,Shakira
Global,2003,People,5,David Beckham
France,2003,Women,1,Britney Spears
France,2003,Women,2,Lorie
France,2003,Women,3,JLo
France,2003,Women,4,Alyssa Milano
France,2003,Women,5,Christina Aguilera
United Kingdom,2003,People,1,Prince Charles
United Kingdom,2003,People,2,EastEnders
United Kingdom,2003,People,3,Winnie the Pooh
United Kingdom,2003,People,4,Jonny Wilkinson
United Kingdom,2003,People,5,EasyJet
Global,2004,Men,1,Orlando Bloom
Global,2004,Men,2,Eminem
Global,2004,Men,3,Usher
Global,2004,Men,4,Johnny Depp
Global,2004,Men,5,Brad Pitt
Global,2004,People,1,Britney Spears
Global,2004,People,2,Paris Hilton
Global,2004,People,3,Christina Aguilera
Global,2004,People,4,Pamela Anderson
Global,2004,People,5,Chat
Global,2004,Women,1,Britney Spears
Global,2004,Women,2,Paris Hilton
Global,2004,Women,3,Christina Aguilera
Global,2004,Women,4,Pamela Anderson
Global,2004,Women,5,Carmen Electra
Brazil,2008,People,1,Juliana Paes
Brazil,2008,People,2,Juliana Knust
Brazil,2008,People,3,Malu Mader
Brazil,2008,People,4,Dudu Azevedo
Brazil,2008,People,5,Britney Spears
Hong Kong,2008,People,1,陳冠希
Hong Kong,2008,People,2,鍾欣桐
Hong Kong,2008,People,3,Obama
Hong Kong,2008,People,4,張柏芝
Hong Kong,2008,People,5,趙碩之
Philippines,2008,People,1,Charice Pempengco
Philippines,2008,People,2,Arnel Pineda
Philippines,2008,People,3,DJ Montano
Philippines,2008,People,4,Wu Chun
Philippines,2008,People,5,Jonas Brothers
United Kingdom,2008,Global Figures,1,Gordon Brown
United Kingdom,2008,Global Figures,2,David Cameron
United Kingdom,2008,Global Figures,3,Barack Obama
United Kingdom,2008,Global Figures,4,Tony Blair
United Kingdom,2008,Global Figures,5,Sarah Palin
United Kingdom,2008,People,2,BBC
United Kingdom,2008,People,3,YouTube
United Kingdom,2008,People,4,eBay
United Kingdom,2008,People,5,Games
United Kingdom,2009,People,2,Jogos
United Kingdom,2009,People,3,eBay uk
United Kingdom,2009,People,4,Yahoo mail
United Kingdom,2009,People,5,Hotmail
Global,2010,People,1,Justin Bieber
Global,2010,People,2,Katy Perry
Global,2010,People,3,Selena Gomez
Global,2010,People,4,Kim Kardashian
Global,2010,People,5,Eminem
Global,2010,People,1,Chatroulette
Global,2010,People,2,iPad
Global,2010,People,3,Justin Bieber
Global,2010,People,4,Nicki Minaj
Global,2010,People,5,Friv
Philippines,2010,People,1,Jason Ivler
Philippines,2010,People,2,Barbie Forteza
Philippines,2010,People,3,Noynoy Aquino
Philippines,2010,People,4,Justin Bieber
Philippines,2010,People,5,Jang Geun Suk
Global,2011,People,1,Big Meech
Global,2011,People,2,Steve Jobs
Global,2011,People,3,John Dahlback
Global,2011,People,4,Nicki Minaj
Global,2011,People,5,Rihanna
Argentina,2011,People,2,Wachiturros
Argentina,2011,People,3,Padrones
Argentina,2011,People,4,Gran Hermano
Argentina,2011,People,5,Dónde Voto
Argentina,2011,People,1,Franco De Vita
Argentina,2011,People,2,Cintia Fernández
Argentina,2011,People,3,Justin Bieber
Argentina,2011,People,4,Facundo Cabral
Argentina,2011,People,5,Amy Winehouse
Australia,2011,People,1,iPhone 5
Australia,2011,People,2,Minecraft
Australia,2011,People,3,Cyclone Yasi
Australia,2011,People,4,Planking
Australia,2011,People,5,Adele
Australia,2011,People,1,Adele
Australia,2011,People,2,Rebecca Black
Australia,2011,People,3,Amy Winehouse
Australia,2011,People,4,Steve Jobs
Australia,2011,People,5,Marco Simoncelli
Austria,2011,People,1,2012
Austria,2011,People,2,iPhone 5
Austria,2011,People,3,Song Contest 2011
Austria,2011,People,4,Samsung Galaxy S2
Austria,2011,People,5,Google+
Austria,2011,People,1,Amy Winehouse
Austria,2011,People,2,Alexandra Stan
Austria,2011,People,3,Gaddafi
Austria,2011,People,4,Steve Jobs
Austria,2011,People,5,Andreas Gabalier
Belgium,2011,People,1,Scarlett Johansson Phone
Belgium,2011,People,2,Kim Kardashian Wedding
Belgium,2011,People,3,Barbara Berlusconi
Belgium,2011,People,4,J. Cole
Belgium,2011,People,5,Kim Kardashian Twitter
Belgium,2011,People,1,iPhone 5
Belgium,2011,People,2,Pukkelpop 2011
Belgium,2011,People,3,Idool
Belgium,2011,People,4,www.Ryanair.Be
Belgium,2011,People,5,Fb
Belgium,2011,People,1,Pippa Middleton
Belgium,2011,People,2,Wouter Weylandt
Belgium,2011,People,3,Dsk
Belgium,2011,People,4,Adele
Belgium,2011,People,5,Amy Winehouse
Brazil,2011,People,2,Bbb11
Brazil,2011,People,3,Ddtank
Brazil,2011,People,4,Rebelde
Brazil,2011,People,5,Insensato Coração
Brazil,2011,People,1,Paula Fernandes
Brazil,2011,People,2,Bruno Mars
Brazil,2011,People,3,Gustavo Lima
Brazil,2011,People,4,Bruna Surfistinha
Brazil,2011,People,5,Katy Perry
Canada,2011,People,1,www.census2011.gc.ca
Canada,2011,People,2,Skyrim
Canada,2011,People,3,Canada Post Strike
Canada,2011,People,4,Rebecca Black
Canada,2011,People,5,Ryan Dunn
Canada,2011,People,1,Rebecca Black
Canada,2011,People,2,Pippa Middleton
Canada,2011,People,3,Ryan Dunn
Canada,2011,People,4,Jack Layton
